NAME                                  TYPE      SIGNATURE RESULT/VALUE FLAGS
io.github.cliffthelin.GuardianHelper1 interface -         -            -
.CallCount                            method    -         t            -
.GuardedWrite                         method    b         t            -
.RestartCapability                    method    sb        s            -
org.freedesktop.DBus.Introspectable   interface -         -            -
.Introspect                           method    -         s            -
org.freedesktop.DBus.Peer             interface -         -            -
.GetMachineId                         method    -         s            -
.Ping                                 method    -         -            -
org.freedesktop.DBus.Properties       interface -         -            -
.Get                                  method    ss        v            -
.GetAll                               method    s         a{sv}        -
.Set                                  method    ssv       -            -
.PropertiesChanged                    signal    sa{sv}as  -            -
